customer_id,age,annual_income_k,spending_score,purchase_frequency,avg_transaction_value
1,60,41.4,35.1,8.1,53.2
2,64,38.3,45.8,3.8,31.2
3,48,36.2,32.1,5.9,48.1
4,46,61.4,45.0,3.6,65.4
5,32,110.1,96.2,36.0,196.5
6,53,51.3,32.9,6.8,37.0
7,55,42.4,37.3,9.0,70.4
8,45,68.7,43.9,4.8,64.8
9,49,54.8,71.6,29.4,64.5
10,30,17.0,23.1,3.9,39.5
11,30,51.6,67.6,25.2,146.2
12,30,27.4,27.3,3.4,38.1
13,52,46.1,48.4,7.6,55.4
14,34,46.6,72.6,25.4,121.0
15,40,69.7,69.4,14.9,102.5
16,46,54.8,68.2,24.2,113.3
17,45,122.1,89.0,24.3,278.2
18,38,71.9,75.5,12.7,104.8
19,43,70.8,74.0,21.2,123.4
20,51,118.5,71.3,30.8,387.9
21,37,46.9,39.4,9.5,70.5
22,38,15.9,21.8,5.0,12.0
23,52,116.3,74.5,33.4,278.1
24,46,57.5,48.1,7.5,38.1
25,24,29.0,22.0,7.2,25.9
26,27,19.7,32.0,7.7,24.0
27,34,32.1,14.1,7.4,34.7
28,47,61.1,74.6,15.5,133.8
29,36,81.4,57.0,20.6,116.7
30,38,69.4,62.9,23.3,132.8
31,42,106.6,96.3,36.7,351.5
32,32,29.3,17.0,6.4,15.6
33,28,45.4,30.6,8.7,30.7
34,52,102.3,87.5,24.3,300.3
35,52,126.2,96.9,30.9,303.5
36,36,21.6,24.9,1.4,24.9
37,60,63.9,43.6,9.9,57.0
38,40,55.5,42.5,5.3,87.2
39,31,70.7,68.1,17.7,102.3
40,22,35.7,16.8,7.8,23.7
41,51,111.2,91.7,15.4,235.3
42,36,30.7,27.4,4.2,28.8
43,52,110.2,96.9,16.8,388.7
44,31,71.2,71.0,17.5,137.4
45,37,135.7,97.6,30.0,385.2
46,31,114.1,96.2,37.5,255.4
47,45,86.4,57.3,17.1,120.5
48,43,35.8,40.8,9.2,80.8
49,31,102.2,95.7,37.7,219.2
50,47,67.4,73.3,18.2,96.7
51,32,61.3,49.5,5.7,53.9
52,40,73.7,74.2,17.5,104.3
53,44,114.9,88.5,32.6,289.9
54,50,35.9,30.2,7.0,56.9
55,31,35.2,25.8,7.1,34.1
56,38,39.4,20.3,1.2,20.4
57,63,48.5,53.0,7.6,73.7
58,39,34.4,33.5,7.3,27.9
59,25,20.8,33.6,5.5,28.2
60,28,60.0,74.6,16.8,149.1
61,50,86.6,90.2,26.1,367.0
62,30,32.6,19.0,3.1,34.3
63,52,39.4,37.6,4.3,63.8
64,24,23.0,30.7,1.3,27.9
65,51,32.8,53.5,6.1,54.6
66,55,62.2,49.3,6.4,34.0
67,27,46.4,46.4,4.1,39.6
68,33,74.2,77.6,27.1,71.5
69,22,28.5,27.1,5.3,38.3
70,28,35.7,49.4,4.2,59.8
71,24,28.9,29.2,7.6,35.5
72,50,143.2,72.0,28.3,185.5
73,53,50.0,30.3,2.1,51.4
74,52,54.7,33.9,5.8,76.8
75,43,128.2,81.9,27.0,321.5
76,44,140.8,76.2,17.8,217.4
77,57,38.6,36.8,4.0,33.8
78,33,29.0,32.1,2.3,18.4
79,25,48.3,49.5,9.7,75.8
80,32,95.9,72.2,30.1,317.1
81,53,47.6,54.5,6.1,36.9
82,26,18.0,18.5,1.6,12.8
83,53,109.8,80.4,24.3,396.9
84,35,39.5,14.4,1.1,32.9
85,39,93.0,97.5,25.6,171.8
86,43,52.6,51.7,6.6,84.4
87,35,54.0,74.6,28.0,95.9
88,39,50.5,30.1,9.5,54.9
89,49,81.3,62.1,28.7,147.3
90,54,149.1,74.1,32.4,251.1
91,37,110.2,83.2,30.3,385.8
92,51,131.7,94.2,36.1,213.5
93,35,66.7,39.1,7.8,83.7
94,35,16.1,12.7,3.7,13.7
95,42,61.7,59.1,14.1,109.2
96,34,147.5,76.1,28.1,221.8
97,42,85.5,67.7,21.0,64.5
98,26,20.8,24.5,7.0,36.4
99,22,19.3,13.9,2.8,26.5
100,38,41.2,75.9,29.5,72.2
101,26,58.3,39.7,3.8,65.8
102,35,90.2,81.0,16.7,156.5
103,35,47.9,78.7,27.8,141.6
104,38,94.0,84.7,16.6,295.5
105,50,48.0,54.4,2.8,62.9
106,46,67.6,30.2,8.2,67.5
107,63,50.0,40.8,5.7,42.5
108,35,80.2,57.1,18.9,93.7
109,30,17.9,20.4,7.0,37.7
110,30,59.1,76.0,14.6,105.5
111,45,44.3,50.1,4.2,42.6
112,47,67.3,65.4,14.9,75.4
113,33,43.2,64.9,20.5,100.6
114,33,52.6,76.1,20.7,106.3
115,30,34.0,25.5,1.7,12.5
116,37,141.4,96.4,36.8,209.7
117,36,30.6,18.4,6.8,20.9
118,30,81.9,71.8,24.5,92.7
119,27,55.3,44.4,7.6,30.4
120,40,114.2,90.0,18.5,157.5
121,44,45.3,57.9,28.9,138.5
122,51,119.3,85.7,17.9,365.0
123,55,60.6,45.6,8.1,32.3
124,51,132.4,74.4,17.6,292.7
125,25,28.9,28.9,2.8,15.8
126,30,55.8,39.9,7.7,42.0
127,35,61.7,51.3,3.9,87.6
128,49,142.3,72.4,33.3,196.9
129,41,46.7,57.4,27.0,142.7
130,41,85.6,69.1,15.3,72.6
131,25,37.0,51.7,4.3,87.0
132,28,64.6,59.9,23.7,130.3
133,37,124.6,91.2,15.8,384.1
134,44,59.6,75.1,18.1,100.0
135,54,30.4,54.9,7.4,79.7
136,24,21.4,25.3,1.6,10.2
137,24,36.9,22.9,7.8,28.1
138,33,30.7,31.8,7.9,33.0
139,28,37.7,16.8,5.5,10.0
140,39,29.3,13.2,6.7,34.6
141,25,20.9,18.1,6.2,29.5
142,36,34.9,27.3,2.5,12.5
143,29,32.2,46.1,9.8,34.2
144,34,139.8,84.8,21.2,367.7
145,41,84.2,65.4,19.0,119.4
146,32,78.2,68.1,16.1,120.0
