customer_id,age,annual_income_k,spending_score,purchase_frequency,avg_transaction_value,cluster,persona
1,60,41.4,35.1,8.1,53.2,2,Occasional Buyer
2,64,38.3,45.8,3.8,31.2,2,Occasional Buyer
3,48,36.2,32.1,5.9,48.1,2,Occasional Buyer
4,46,61.4,45.0,3.6,65.4,2,Occasional Buyer
5,32,110.1,96.2,36.0,196.5,1,High Roller
6,53,51.3,32.9,6.8,37.0,2,Occasional Buyer
7,55,42.4,37.3,9.0,70.4,2,Occasional Buyer
8,45,68.7,43.9,4.8,64.8,2,Occasional Buyer
9,49,54.8,71.6,29.4,64.5,3,Loyal Regular
10,30,17.0,23.1,3.9,39.5,0,Budget Shopper
11,30,51.6,67.6,25.2,146.2,3,Loyal Regular
12,30,27.4,27.3,3.4,38.1,0,Budget Shopper
13,52,46.1,48.4,7.6,55.4,2,Occasional Buyer
14,34,46.6,72.6,25.4,121.0,3,Loyal Regular
15,40,69.7,69.4,14.9,102.5,3,Loyal Regular
16,46,54.8,68.2,24.2,113.3,3,Loyal Regular
17,45,122.1,89.0,24.3,278.2,1,High Roller
18,38,71.9,75.5,12.7,104.8,3,Loyal Regular
19,43,70.8,74.0,21.2,123.4,3,Loyal Regular
20,51,118.5,71.3,30.8,387.9,1,High Roller
21,37,46.9,39.4,9.5,70.5,0,Budget Shopper
22,38,15.9,21.8,5.0,12.0,0,Budget Shopper
23,52,116.3,74.5,33.4,278.1,1,High Roller
24,46,57.5,48.1,7.5,38.1,2,Occasional Buyer
25,24,29.0,22.0,7.2,25.9,0,Budget Shopper
26,27,19.7,32.0,7.7,24.0,0,Budget Shopper
27,34,32.1,14.1,7.4,34.7,0,Budget Shopper
28,47,61.1,74.6,15.5,133.8,3,Loyal Regular
29,36,81.4,57.0,20.6,116.7,3,Loyal Regular
30,38,69.4,62.9,23.3,132.8,3,Loyal Regular
31,42,106.6,96.3,36.7,351.5,1,High Roller
32,32,29.3,17.0,6.4,15.6,0,Budget Shopper
33,28,45.4,30.6,8.7,30.7,0,Budget Shopper
34,52,102.3,87.5,24.3,300.3,1,High Roller
35,52,126.2,96.9,30.9,303.5,1,High Roller
36,36,21.6,24.9,1.4,24.9,0,Budget Shopper
37,60,63.9,43.6,9.9,57.0,2,Occasional Buyer
38,40,55.5,42.5,5.3,87.2,2,Occasional Buyer
39,31,70.7,68.1,17.7,102.3,3,Loyal Regular
40,22,35.7,16.8,7.8,23.7,0,Budget Shopper
